,Shape_Leng,GlobalID,Num,STRIN,STRIN_Desc,Legacy_Nam,Section,M_Start,M_End,City_Town,County,S_Lat,S_Long,M_Lat,M_Long,E_Lat,E_Long,Leg_Length,Leg_Height,Haz_Class,Haz_Rating,Side,Type,Comment,InterimNam,milepost,z
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.48880004882812,464.9251721204736
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.49729919433594,465.22543463690323
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.5,465.2401227206042
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.50405883789062,465.278147242567
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.51077270507812,465.3230329049783
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.53521728515625,464.97025851373223
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.5426025390625,465.31510489361307
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.55174255371094,465.3623241467047
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.55921936035156,465.6214085993103
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.57188415527344,465.34982749990485
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.5923309326172,465.3393492590565
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.60000610351562,465.09842622950737
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.61141967773438,465.70946653354673
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.63575744628906,465.21290556846026
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.65264892578125,465.20685578613035
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.65933227539062,465.15768889794015
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.66567993164062,465.1873306696517
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.6867218017578,465.1797653968156
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.6999969482422,465.34343103035764
