InterimNam,Side,milepost,z,,,,,
N_250.15_250.19,North,250.18125,464.0199890136719,,,,,
N_250.29_250.55,North,250.29,464.19000244140625,,,,,
N_250.29_250.55,North,250.2942235,464.0199890136719,,,,,
N_250.29_250.55,North,250.302178,463.9100036621094,,,,,
S_250.35_250.50,South,250.35,462.8999938964844,,,,,
S_250.35_250.50,South,250.3579659,463.44000244140625,,,,,
S_250.35_250.50,South,250.3596799,463.04998779296875,,,,,
S_250.35_250.50,South,250.3915568,462.95001220703125,,,,,
N_250.29_250.55,North,250.3925189,463.45001220703125,,,,,
S_250.35_250.50,South,250.401233,462.94000244140625,,,,,
N_250.29_250.55,North,250.4143939,463.5199890136719,,,,,
N_250.29_250.55,North,250.426553,463.55999755859375,,,,,
N_250.29_250.55,North,250.436875,463.7699890136719,,,,,
N_250.29_250.55,North,250.4412121,463.7200012207031,,,,,
S_250.35_250.50,South,250.4421932,463.0899963378906,,,,,
S_250.35_250.50,South,250.444983,463.04998779296875,,,,,
N_250.29_250.55,North,250.4550189,463.8399963378906,,,,,
N_250.29_250.55,North,250.465,464.1099853515625,,,,,
S_250.35_250.50,South,250.4653485,463.19000244140625,,,,,
S_250.35_250.50,South,250.4677936,463.1700134277344,,,,,
N_250.29_250.55,North,250.4683902,464.1199951171875,,,,,
S_250.35_250.50,South,250.4693977,463.2200012207031,,,,,
N_250.29_250.55,North,250.473428,464.1600036621094,,,,,
N_250.29_250.55,North,250.4768939,464.1499938964844,,,,,
N_250.29_250.55,North,250.4924243,464.1199951171875,,,,,
S_250.35_250.50,South,250.5024867,463.5400085449219,,,,,
S_250.35_250.50,South,250.5065682,463.79998779296875,,,,,
N_250.29_250.55,North,250.5193371,464.2099914550781,,,,,
N_250.62_250.96,North,250.62,464.29998779296875,,,,,
N_250.62_250.96,North,250.6242235,464.25,,,,,
N_250.62_250.96,North,250.63375,464.3800048828125,,,,,
N_250.62_250.96,North,250.634375,464.30999755859375,,,,,
N_250.62_250.96,North,250.651553,464.1499938964844,,,,,
N_250.62_250.96,North,250.6881439,464,,,,,
N_250.62_250.96,North,250.7656629,464.1199951171875,,,,,
N_250.62_250.96,North,250.8068939,463.79998779296875,,,,,
N_250.62_250.96,North,250.8337121,463.5899963378906,,,,,
N_250.62_250.96,North,250.8375379,463.6199951171875,,,,,
N_250.62_250.96,North,250.9274621,463.5,,,,,
N_250.96_251.52,North,250.96,463.30999755859375,,,,,
N_250.96_251.52,North,250.9627841,463.4599914550781,,,,,
S_251.06_251.09,South,251.06,468.8699951171875,,,,,
N_250.96_251.52,North,251.0750189,463.6300048828125,,,,,
N_250.96_251.52,North,251.0793561,463.7099914550781,,,,,
S_251.06_251.09,South,251.088428,466.2099914550781,,,,,
S_251.16_251.90,South,251.16,463,,,,,
N_250.96_251.52,North,251.1686743,463.57000732421875,,,,,
S_251.16_251.90,South,251.1993807,463.32000732421875,,,,,
N_250.96_251.52,North,251.1994129,463.6400146484375,,,,,
N_250.96_251.52,North,251.21625,464.07000732421875,,,,,
N_250.96_251.52,North,251.2674621,464.1499938964844,,,,,
N_250.96_251.52,North,251.2842993,464.2799987792969,,,,,
N_250.96_251.52,North,251.2967993,464.3299865722656,,,,,
S_251.16_251.90,South,251.3015492,463.1000061035156,,,,,
N_250.96_251.52,North,251.3929735,463.7300109863281,,,,,
N_250.96_251.52,North,251.3989015,463.6600036621094,,,,,
N_250.96_251.52,North,251.4200757,464.25,,,,,
S_251.16_251.90,South,251.4527822,463.3399963378906,,,,,
S_251.16_251.90,South,251.4544299,463.30999755859375,,,,,
N_250.96_251.52,North,251.4686743,464.5299987792969,,,,,
N_250.96_251.52,North,251.4749243,464.44000244140625,,,,,
S_251.16_251.90,South,251.4777822,463.6600036621094,,,,,
S_251.16_251.90,South,251.4844053,463.5100098,,,,,
S_251.16_251.90,South,251.5016553,463.1400146484375,,,,,
S_251.16_251.90,South,251.5141136,463.3800048828125,,,,,
S_251.16_251.90,South,251.6484886,463.2099914550781,,,,,
S_251.16_251.90,South,251.7501345,463.45001220703125,,,,,
S_251.16_251.90,South,251.7719678,464.25,,,,,
N_251.83_252.35,North,251.83,464.9200134277344,,,,,
N_251.83_252.35,North,251.8315265,465.2799987792969,,,,,
S_251.16_251.90,South,251.8517311,464.2900085449219,,,,,
N_251.83_252.35,North,251.891267,465.82000732421875,,,,,
N_251.83_252.35,North,251.8981231,465.2799987792969,,,,,
N_251.83_252.35,North,251.8996913,464.9200134277344,,,,,
N_251.83_252.35,North,251.9193826,466.55999755859375,,,,,
N_251.83_252.35,North,251.9272159,467.4100036621094,,,,,
N_251.83_252.35,North,251.9377917,468.1199951171875,,,,,
N_251.83_252.35,North,251.9499943,466,,,,,
N_251.83_252.35,North,251.9569034,465.3299865722656,,,,,
N_251.83_252.35,North,252.1084129,465.2200012207031,,,,,
N_251.83_252.35,North,252.12375,464.9700012207031,,,,,
N_251.83_252.35,North,252.1606761,464.94000244140625,,,,,
N_251.83_252.35,North,252.161803,465.04998779296875,,,,,
N_251.83_252.35,North,252.1691477,465.17999267578125,,,,,
N_251.83_252.35,North,252.2251951,465.2200012207031,,,,,
N_251.83_252.35,North,252.3087841,465.6099853515625,,,,,
N_252.38_252.44,North,252.38,467,,,,,
N_252.38_252.44,North,252.383125,468.4899902,,,,,
N_252.38_252.44,North,252.414678,476.94000244140625,,,,,
N_252.38_252.44,North,252.420303,474.2699890136719,,,,,
N_252.38_252.44,North,252.43625,466.6099853515625,,,,,
N_252.38_252.44,North,252.4387311,465.9800109863281,,,,,
N_252.47_252.65,North,252.47,464.3699951171875,,,,,
N_252.47_252.65,North,252.4807784,464.6700134277344,,,,,
N_252.47_252.65,North,252.5190492,464.1300048828125,,,,,
N_252.47_252.65,North,252.5252992,464.05999755859375,,,,,
N_252.47_252.65,North,252.5287689,464.0400085449219,,,,,
N_252.47_252.65,North,252.5328087,464.04998779296875,,,,,
N_252.47_252.65,North,252.5459356,464.1499938964844,,,,,
N_252.47_252.65,North,252.5547045,464.1300048828125,,,,,
N_252.47_252.65,North,252.6059053,464.19000244140625,,,,,
N_252.98_253.01,North,252.98,463.7900085449219,,,,,
N_252.98_253.01,North,252.9864015,463.80999755859375,,,,,
N_253.85_253.88,North,253.85,464.2799987792969,,,,,
N_253.85_253.88,North,253.865,463.8800048828125,,,,,
N_253.85_253.88,North,253.868428,463.8900146484375,,,,,
N_253.85_253.88,North,253.881875,464.1099853515625,,,,,
N_254.15_254.78,North,254.15,463.4899902,,,,,
S_254.34_254.43,South,254.34,474.5,,,,,
S_254.34_254.43,South,254.371553,474.2099914550781,,,,,
N_254.15_254.78,North,254.45625,463.75,,,,,
N_254.15_254.78,North,254.5492993,464.05999755859375,,,,,
N_254.15_254.78,North,254.5576515,467.4599914550781,,,,,
N_254.15_254.78,North,254.5632765,465.8500061035156,,,,,
N_254.15_254.78,North,254.5680493,469.05999755859375,,,,,
N_254.15_254.78,North,254.6173485,469.8500061035156,,,,,
N_254.15_254.78,North,254.6235985,464.19000244140625,,,,,
N_254.15_254.78,North,254.6357765,465.6099853515625,,,,,
N_254.15_254.78,North,254.6555493,465.3500061035156,,,,,
N_254.15_254.78,North,254.6867993,465.69000244140625,,,,,
N_254.15_254.78,North,254.6923485,465.44000244140625,,,,,
N_254.15_254.78,North,254.7069507,465.0100098,,,,,
N_254.15_254.78,North,254.7149243,465,,,,,
N_254.15_254.78,North,254.7454735,463.94000244140625,,,,,
S_254.78_254.86,South,254.78,463.4200134277344,,,,,
S_254.78_254.86,South,254.788125,463.04998779296875,,,,,
S_254.78_254.86,South,254.790303,462.70001220703125,,,,,
S_254.78_254.86,South,254.7914015,462.55999755859375,,,,,
N_254.80_254.86,North,254.8,464.2200012207031,,,,,
S_254.78_254.86,South,254.805303,463.19000244140625,,,,,
N_254.80_254.86,North,254.808125,464.29998779296875,,,,,
S_254.78_254.86,South,254.811875,463.1700134277344,,,,,
N_254.80_254.86,North,254.819072,464.6400146484375,,,,,
S_254.78_254.86,South,254.824375,463.1400146484375,,,,,
N_254.80_254.86,North,254.828125,464.80999755859375,,,,,
S_254.78_254.86,South,254.8325189,464.0400085449219,,,,,
S_254.78_254.86,South,254.8425,463.95001220703125,,,,,
S_254.78_254.86,South,254.8668939,464.80999755859375,,,,,
N_254.90_255.01,North,254.9,465.04998779296875,,,,,
N_254.90_255.01,North,254.9051515,465.1700134277344,,,,,
N_254.90_255.01,North,254.944053,465.7799987792969,,,,,
N_254.90_255.01,North,254.950947,465.2600098,,,,,
N_254.90_255.01,North,254.978428,465.5100098,,,,,
N_254.90_255.01,North,254.9818561,465.3299865722656,,,,,
N_254.90_255.01,North,255.0012121,465.2300109863281,,,,,
N_254.90_255.01,North,255.003125,465.3399963378906,,,,,
N_254.90_255.01,North,255.009375,465.29998779296875,,,,,
S_255.06_255.21,South,255.06,488.4800109863281,,,,,
N_255.09_255.24,North,255.09,488.6199951171875,,,,,
N_255.09_255.24,North,255.090322,488.55999755859375,,,,,
N_255.09_255.24,North,255.0918371,488.5199890136719,,,,,
N_255.09_255.24,North,255.104375,488.0899963378906,,,,,
S_255.06_255.21,South,255.110303,488.2600098,,,,,
N_255.09_255.24,North,255.118447,488.5899963378906,,,,,
N_255.09_255.24,North,255.1831439,488.0199890136719,,,,,
N_255.09_255.24,North,255.1872159,488.25,,,,,
N_255.09_255.24,North,255.2028409,488.67999267578125,,,,,
S_255.22_255.50,South,255.22,488.7900085449219,,,,,
S_255.22_255.50,South,255.228125,488.7799987792969,,,,,
S_255.22_255.50,South,255.230303,489.04998779296875,,,,,
N_255.09_255.24,North,255.230625,488.5799865722656,,,,,
S_255.22_255.50,South,255.245303,488.44000244140625,,,,,
S_255.22_255.50,South,255.304678,492.6199951171875,,,,,
S_255.22_255.50,South,255.310625,493.9100036621094,,,,,
S_255.22_255.50,South,255.3531629,494.8699951171875,,,,,
S_255.22_255.50,South,255.3587121,494.8999938964844,,,,,
S_255.22_255.50,South,255.360625,495.19000244140625,,,,,
S_255.22_255.50,South,255.3818939,494.6400146484375,,,,,
S_255.22_255.50,South,255.3924811,495.3900146484375,,,,,
S_255.22_255.50,South,255.3937879,494.7399902,,,,,
S_255.22_255.50,South,255.404375,497.1099853515625,,,,,
S_255.22_255.50,South,255.4692993,495.6499938964844,,,,,
S_256.36_256.50,South,256.36,515.4500122070312,,,,,
S_256.36_256.50,South,256.362178,515.4600219726562,,,,,
S_256.36_256.50,South,256.363125,515.1599731445312,,,,,
N_256.37_256.98,North,256.37,516.0200195,,,,,
S_256.36_256.50,South,256.3704735,515.2999877929688,,,,,
